Regio's;code;naam;code;naam
Aa en Hunze;GM1680;AaenHunze;GG0706;GGDDrenthe
Aalsmeer;GM0358;Aalsmeer;GG3406;GGDAmsterdam
Aalten;GM0197;Aalten;GG1413;GGDNoord-enOost-Gelderland
Achtkarspelen;GM0059;Achtkarspelen;GG7206;GGDFryslân
Alblasserdam;GM0482;Alblasserdam;GG4816;DienstGezondheid&JeugdZHZ
Albrandswaard;GM0613;Albrandswaard;GG4607;GGDRotterdam-Rijnmond
Alkmaar;GM0361;Alkmaar;GG2707;GGDHollands-Noorden
Almelo;GM0141;Almelo;GG1106;GGDTwente
Almere;GM0034;Almere;GG2209;GGDFlevoland
Alphen aan den Rijn;GM0484;AlphenaandenRijn;GG4506;GGDHollands-Midden
Alphen-Chaam;GM1723;Alphen-Chaam;GG5206;GGDWest-Brabant
Altena;GM1959;Altena;GG5206;GGDWest-Brabant
Ameland;GM0060;Ameland;GG7206;GGDFryslân
Amersfoort;GM0307;Amersfoort;GG2514;GGDRegioUtrecht
Amstelveen;GM0362;Amstelveen;GG3406;GGDAmsterdam
Amsterdam;GM0363;Amsterdam;GG3406;GGDAmsterdam
Apeldoorn;GM0200;Apeldoorn;GG1413;GGDNoord-enOost-Gelderland
Arnhem;GM0202;Arnhem;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Assen;GM0106;Assen;GG0706;GGDDrenthe
Asten;GM0743;Asten;GG5608;GGDBrabant-Zuidoost
Baarle-Nassau;GM0744;Baarle-Nassau;GG5206;GGDWest-Brabant
Baarn;GM0308;Baarn;GG2514;GGDRegioUtrecht
Barendrecht;GM0489;Barendrecht;GG4607;GGDRotterdam-Rijnmond
Barneveld;GM0203;Barneveld;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden
Beek (L.);GM0888;Beek(L.);GG6106;GGDZuid-Limburg
Beekdaelen;GM1954;Beekdaelen;GG6106;GGDZuid-Limburg
Beesel;GM0889;Beesel;GG6011;GGDLimburg-Noord
Berg en Dal;GM1945;BergenDal;GG2014;GGDGelderland-Zuid
Bergeijk;GM1724;Bergeijk;GG5608;GGDBrabant-Zuidoost
Bergen (L.);GM0893;Bergen(L.);GG6011;GGDLimburg-Noord
Bergen (NH.);GM0373;Bergen(NH.);GG2707;GGDHollands-Noorden
Bergen op Zoom;GM0748;BergenopZoom;GG5206;GGDWest-Brabant
Berkelland;GM1859;Berkelland;GG1413;GGDNoord-enOost-Gelderland
Bernheze;GM1721;Bernheze;GG5406;GGDHartvoorBrabant
Best;GM0753;Best;GG5608;GGDBrabant-Zuidoost
Beuningen;GM0209;Beuningen;GG2014;GGDGelderland-Zuid
Beverwijk;GM0375;Beverwijk;GG3109;GGDKennemerland
De Bilt;GM0310;DeBilt;GG2514;GGDRegioUtrecht
Bladel;GM1728;Bladel;GG5608;GGDBrabant-Zuidoost
Blaricum;GM0376;Blaricum;GG3606;GGDGooienVechtstreek
Bloemendaal;GM0377;Bloemendaal;GG3109;GGDKennemerland
Bodegraven-Reeuwijk;GM1901;Bodegraven-Reeuwijk;GG4506;GGDHollands-Midden
Boekel;GM0755;Boekel;GG5406;GGDHartvoorBrabant
Borger-Odoorn;GM1681;Borger-Odoorn;GG0706;GGDDrenthe
Borne;GM0147;Borne;GG1106;GGDTwente
Borsele;GM0654;Borsele;GG5006;GGDZeeland
Boxtel;GM0757;Boxtel;GG5406;GGDHartvoorBrabant
Breda;GM0758;Breda;GG5206;GGDWest-Brabant
Bronckhorst;GM1876;Bronckhorst;GG1413;GGDNoord-enOost-Gelderland
Brummen;GM0213;Brummen;GG1413;GGDNoord-enOost-Gelderland
Brunssum;GM0899;Brunssum;GG6106;GGDZuid-Limburg
Bunnik;GM0312;Bunnik;GG2514;GGDRegioUtrecht
